date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-02;Bordeaux;app;4;4;22;275.1;-9.33;265.77
2025-03-02;Bordeaux;web;9;9;83;1006.2;-30.6;975.6
2025-03-02;Lille;app;5;5;48;576.8;-26.39;550.41
2025-03-02;Lille;web;4;4;27;261.7;-12.46;249.24
2025-03-02;Lyon;app;5;5;41;424.3;-12.38;411.92
2025-03-02;Lyon;web;6;6;40;378.7;-29.84;348.86
2025-03-02;Marseille;app;3;3;24;329.6;0.0;329.6
2025-03-02;Marseille;web;2;2;17;136.4;-18.71;117.69
2025-03-02;Nantes;app;8;8;23;209.5;0.0;209.5
2025-03-02;Nantes;web;6;6;36;374.5;-5.86;368.64
2025-03-02;Nice;app;7;7;46;434.5;-50.27;384.23
2025-03-02;Nice;web;5;5;32;302.5;-18.28;284.22
2025-03-02;Paris;app;4;4;39;462.7;0.0;462.7
2025-03-02;Paris;web;6;6;43;394.6;-73.55;321.05
2025-03-02;Toulouse;app;5;5;27;340.8;-16.48;324.32
2025-03-02;Toulouse;web;5;5;39;418.4;-2.95;415.45
